Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2016","2016","toneladas","21427","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2017","2017","toneladas","21181","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2018","2018","toneladas","22120.99","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2019","2019","toneladas","24841","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2020","2020","toneladas","23401","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2021","2021","toneladas","23451.98","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","068","Bolivia (Estado Plurinacional de)","5510","Producción","01610","Café, verde","2022","2022","toneladas","23238.78","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2013","2013","toneladas","2964538","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2014","2014","toneladas","2804070","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2015","2015","toneladas","2647504","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2016","2016","toneladas","3024466","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2017","2017","toneladas","2684508","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2018","2018","toneladas","3552729","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2019","2019","toneladas","3011745","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2020","2020","toneladas","3705719","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2021","2021","toneladas","2985581","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","076","Brasil","5510","Producción","01610","Café, verde","2022","2022","toneladas","3172562","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2013","2013","toneladas","22625","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2014","2014","toneladas","10405","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2015","2015","toneladas","18367","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2016","2016","toneladas","13624.46","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2017","2017","toneladas","16340","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2018","2018","toneladas","14216","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2019","2019","toneladas","14059","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2020","2020","toneladas","18000","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2021","2021","toneladas","17100","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","108","Burundi","5510","Producción","01610","Café, verde","2022","2022","toneladas","17220.45","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2013","2013","toneladas","62","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2014","2014","toneladas","52","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2015","2015","toneladas","52.34","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2016","2016","toneladas","68.09","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2017","2017","toneladas","46.89","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2018","2018","toneladas","46","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2019","2019","toneladas","40","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2020","2020","toneladas","48","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2021","2021","toneladas","40.73","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","132","Cabo Verde","5510","Producción","01610","Café, verde","2022","2022","toneladas","47","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2013","2013","toneladas","353.12","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2014","2014","toneladas","356.58","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2015","2015","toneladas","369.69","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2016","2016","toneladas","359.8","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2017","2017","toneladas","356.64","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2018","2018","toneladas","356.82","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2019","2019","toneladas","375.32","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2020","2020","toneladas","377.24","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2021","2021","toneladas","369.79","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","116","Camboya","5510","Producción","01610","Café, verde","2022","2022","toneladas","374.12","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2013","2013","toneladas","41800","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2014","2014","toneladas","38081.87","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2015","2015","toneladas","35937.99","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2016","2016","toneladas","31388","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2017","2017","toneladas","31609.8","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2018","2018","toneladas","34619.5","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2019","2019","toneladas","34061.3","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2020","2020","toneladas","29792.9","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2021","2021","toneladas","27060.4","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","120","Camerún","5510","Producción","01610","Café, verde","2022","2022","toneladas","26370.64","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2013","2013","toneladas","116826","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2014","2014","toneladas","127585.93","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2015","2015","toneladas","115896.76","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2016","2016","toneladas","114186.44","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2017","2017","toneladas","115110.14","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2018","2018","toneladas","116519","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2019","2019","toneladas","121012","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2020","2020","toneladas","114970","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2021","2021","toneladas","108906","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","159","China","5510","Producción","01610","Café, verde","2022","2022","toneladas","108885.67","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2013","2013","toneladas","116826","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2014","2014","toneladas","127585.93","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2015","2015","toneladas","115139.76","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2016","2016","toneladas","113345.44","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2017","2017","toneladas","114163.14","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2018","2018","toneladas","115500","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2019","2019","toneladas","120000","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2020","2020","toneladas","114000","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2021","2021","toneladas","108000","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","156","China, Continental","5510","Producción","01610","Café, verde","2022","2022","toneladas","108000","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2013","2013","toneladas","0","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2014","2014","toneladas","0","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2015","2015","toneladas","757","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2016","2016","toneladas","841","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2017","2017","toneladas","947","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2018","2018","toneladas","1019","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2019","2019","toneladas","1012","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2020","2020","toneladas","970","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2021","2021","toneladas","906","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","158","China, Taiwán provincia de","5510","Producción","01610","Café, verde","2022","2022","toneladas","885.67","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2013","2013","toneladas","653160","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2014","2014","toneladas","728400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2015","2015","toneladas","827750","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2016","2016","toneladas","818243","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2017","2017","toneladas","851640","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2018","2018","toneladas","813420","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2019","2019","toneladas","885120","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2020","2020","toneladas","833400","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2021","2021","toneladas","560340","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","170","Colombia","5510","Producción","01610","Café, verde","2022","2022","toneladas","665015.95","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2013","2013","toneladas","132","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2014","2014","toneladas","133.48","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2015","2015","toneladas","135.35","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2016","2016","toneladas","136.26","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2017","2017","toneladas","137.12","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2018","2018","toneladas","138.18","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2019","2019","toneladas","141.55","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2020","2020","toneladas","142.27","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2021","2021","toneladas","140.66","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","174","Comoras","5510","Producción","01610","Café, verde","2022","2022","toneladas","141.49","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2013","2013","toneladas","2987.03","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2014","2014","toneladas","3005.38","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2015","2015","toneladas","3038.73","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2016","2016","toneladas","3062.07","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2017","2017","toneladas","3108.09","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2018","2018","toneladas","3151.08","I","Valor imputado",""
